,Authors,Title,Year,Cited by,Funding Details,Country
109,"Yu H., Yang Z., Sinnott R.O.",Decentralized Big Data Auditing for Smart City Environments Leveraging Blockchain Technology,2019,26.0,National Natural Science Foundation of China,Australia
110,"Burton E., Goldsmith J., Koenig S., Kuipers B., Mattei N., Walsh T.",Ethical considerations in artificial intelligence courses,2017,26.0,"National Science Foundation

Horizon 2020 Framework Programme",Australia
111,"Yang L., Cai X., Zhang Y., Shi P.",Enhancing sentence-level clustering with ranking-based clustering framework for theme-based summarization,2014,26.0,"National Natural Science Foundation of China

Central Universities in China",Australia
112,"Collins C., Andrienko N., Schreck T., Yang J., Choo J., Engelke U., Jena A., Dwyer T.",Guidance in the human–machine analytics process,2018,25.0,"Natural Sciences and Engineering Research Council of Canada

European Commission",Australia
113,"Tushar W., Wijerathne N., Li W.-T., Yuen C., Vincent Poor H., Saha T.K., Wood K.L.",Internet of Things for Green Building Management: Disruptive Innovations Through Low-Cost Sensor Technology and Artificial Intelligence,2018,25.0,"National Science Foundation

Building and Construction Authority - Singapore",Australia
114,"Houssami N., Lee C.I., Buist D.S.M., Tao D.",Artificial intelligence for breast cancer screening: Opportunity or hype?,2017,25.0,"National Cancer Institute

Australian Breast Cancer Research

National Breast Cancer Foundation",Australia
115,"Sun D., Fu M., Zhu L., Li G., Lu Q.",Non-Intrusive Anomaly Detection with Streaming Performance Metrics and Logs for DevOps in Public Clouds: A Case Study in AWS,2016,25.0,National Natural Science Foundation of China,Australia
116,"Finney O.C., Danziger S.A., Molina D.M., Vignali M., Takagi A., Ji M., Stanisic D.I., Siba P.M., Liang X., Aitchison J.D., Mueller I., Gardner M.J., Wang R.",Predicting antidisease immunity using proteome arrays and sera from children naturally exposed to malaria,2014,23.0,"National Institutes of Health

National Institute of General Medical Sciences

National Institute of Allergy and Infectious Diseases",Australia
117,"Martinez D., Otegi A., Soroa A., Agirre E.",Improving search over Electronic Health Records using UMLS-based query expansion through random walks,2014,23.0,"National Institutes of Health

Australian Research Council

Ministerio de Economía, Industria y Competitividad, Gobierno de España",Australia
118,"Raylman R.R., Abraham J., Hazard H., Koren C., Filburn S., Schreiman J.S., Kurian S., Majewski S., Marano G.D.",Initial clinical test of a breast-PET scanner,2011,23.0,National Cancer Institute,Australia
119,"Wang D., MacKie T.R., Tomé W.A.",On the use of a proton path probability map for proton computed tomography reconstruction,2010,23.0,National Cancer Institute,Australia
120,"Liu X., Wang W., Chai T., Liu W.",Approaches to the representations and logic operations of fuzzy concepts in the framework of axiomatic fuzzy set theory II,2007,23.0,"National Natural Science Foundation of China

National Key Research and Development Program of China",Australia
121,"Cruz Rivera S., Liu X., Chan A.-W., Denniston A.K., Calvert M.J., Darzi A., Holmes C., Yau C., Moher D., Ashrafian H., Deeks J.J., Ferrante di Ruffano L., Faes L., Keane P.A., Vollmer S.J., Lee A.Y., Jonas A., Esteva A., Beam A.L., Panico M.B., Lee C.S., Haug C., Kelly C.J., Yau C., Mulrow C., Espinoza C., Fletcher J., Paltoo D., Manna E., Price G., Collins G.S., Harvey H., Matcham J., Monteiro J., ElZarrad M.K., Ferrante di Ruffano L., Oakden-Rayner L., McCradden M., Keane P.A., Savage R., Golub R., Sarkar R., Rowley S., The SPIRIT-AI and CONSORT-AI Working Group, SPIRIT-AI and CONSORT-AI Steering Group, SPIRIT-AI and CONSORT-AI Consensus Group",Guidelines for clinical trial protocols for interventions involving artificial intelligence: the SPIRIT-AI extension,2020,22.0,"National Institutes of Health

U.S. Food and Drug Administration

U.S. National Library of Medicine

Office of the Director

Food and Drug Administration

Wellcome Trust

UCB

Macmillan Cancer Support

Alan Turing Institute

University Hospitals Birmingham NHS Foundation Trust

UK Research and Innovation

National Institute for Health Research

Health Foundation

University of Birmingham

Innovate UK

European Regional Development Fund

Wellcome Trust Centre for Mitochondrial Research

Surgical Reconstruction and Microbiology Research Centre",Australia
122,"Xu M., Wang J., He X., Jin J.S., Luo S., Lu H.",A three-level framework for affective content analysis and its case studies,2014,22.0,"University of Technology Sydney

National Natural Science Foundation of China",Australia
123,"Geng X., Zhou Z.-H., Smith-Miles K.",Individual stable space: An approach to face recognition under uncontrolled conditions,2008,21.0,"National Natural Science Foundation of China

National High-tech Research and Development Program",Australia
124,"Zhang M., Wu T., Beeman S.C., Cullen-McEwen L., Bertram J.F., Charlton J.R., Baldelomar E., Bennett K.M.","Efficient Small Blob Detection Based on Local Convexity, Intensity and Shape Information",2016,20.0,"National Institutes of Health

National Institute of Diabetes and Digestive and Kidney Diseases",Australia
125,"Zhang R., Lu J., Zhang G.",A knowledge-based multi-role decision support system for ore blending cost optimization of blast furnaces,2011,20.0,"Australian Research Council

National Natural Science Foundation of China

Scientific Research Foundation for Returned Scholars of Ministry of Education",Australia
126,"Zhang K., Qu Z., Dong Y., Lu H., Leng W., Wang J., Zhang W.",Research on a combined model based on linear and nonlinear features - A case study of wind speed forecasting,2019,19.0,National Natural Science Foundation of China,Australia
127,"Ren C.Y., Prisacariu V.A., Kähler O., Reid I.D., Murray D.W.",Real-Time Tracking of Single and Multiple Objects from Depth-Colour Imagery Using 3D Signed Distance Functions,2017,19.0,"Seventh Framework Programme

Engineering and Physical Sciences Research Council

Australian Research Council",Australia
128,"Zhang J., Lafta R.L., Tao X., Li Y., Chen F., Luo Y., Zhu X.",Coupling a Fast Fourier Transformation with a Machine Learning Ensemble Model to Support Recommendations for Heart Disease Patients in a Telehealth Environment,2017,19.0,National Natural Science Foundation of China,Australia
129,"Wang L., Hu X., Yuan B., Lu J.",Active learning via query synthesis and nearest neighbour search,2015,19.0,"Australian Research Council

National Natural Science Foundation of China

China Scholarship Council

Natural Science Foundation of Jiangsu Province

Nanjing University of Science and Technology

Key Laboratory of Image and Video Understanding for Social Safety

Fundamental Research Funds for the Central Universities",Australia
130,"Coelho J.R., Carriço J.A., Knight D., Martínez J.-L., Morrissey I., Oggioni M.R., Freitas A.T.",The Use of Machine Learning Methodologies to Analyse Antibiotic and Biocide Susceptibility in Staphylococcus aureus,2013,19.0,Seventh Framework Programme,Australia
131,"Lou X., Cui B.",Design of state estimator for uncertain neural networks via the integral-inequality method,2008,19.0,"National Natural Science Foundation of China

Ministry of Education of the People's Republic of China

Natural Science Foundation of Jiangsu Province",Australia
132,"Guo Y., Gao J., Kwan P.W.",Twin kernel embedding,2008,19.0,"Australian Research Council

Charles Sturt University

University of New England

National Natural Science Foundation of China",Australia
133,"Gao J., Shi D., Liu X.",Significant vector learning to construct sparse kernel regression models,2007,19.0,"Charles Sturt University

National Natural Science Foundation of China",Australia
134,"Cui Q., Wang Y., Chen K.-C., Ni W., Lin I.-C., Tao X., Zhang P.",Big data analytics and network calculus enabling intelligent management of autonomous vehicles in a smart city,2019,18.0,National Natural Science Foundation of China,Australia
135,"Wang T., Peng Z., Wen S., Lai Y., Jia W., Cai Y., Tian H., Chen Y.",Reliable wireless connections for fast-moving rail users based on a chained fog structure,2017,18.0,"National Natural Science Foundation of China

Natural Science Foundation of Fujian Province

Huaqiao University

National Key Research and Development Program of China",Australia
136,"Shu W., Shen H.",Multi-criteria feature selection on cost-sensitive data with missing values,2016,18.0,"Australian Research Council

National Natural Science Foundation of China

Sun Yat-sen University",Australia
137,"Huang Y., Zhang J., Huang H.",Camera Model Identification with Unknown Models,2015,18.0,"National Natural Science Foundation of China

Basic Research Foundation of Beijing Institute of Technology",Australia
138,"Yan H., Zhang J., Zhou N., Li M.",Application of hybrid artificial intelligence model to predict coal strength alteration during CO2 geological sequestration in coal seams,2020,17.0,"National Natural Science Foundation of China

National Postdoctoral Program for Innovative Talents",Australia
139,"Wu D., Lin C.-T., Huang J.",Active learning for regression using greedy sampling,2019,17.0,National Natural Science Foundation of China,Australia
140,"Lu S., Huang S., Li K., Li J., Chen J., Lu D., Ji Z., Shen Y., Zhou D., Zeng B.",Separability-entanglement classifier via machine learning,2018,17.0,"U.S. Department of Defense

Canadian Institute for Advanced Research

Natural Sciences and Engineering Research Council of Canada

National Natural Science Foundation of China

Ministry of Education of the People's Republic of China

National Key Research and Development Program of China

National Science Fund for Distinguished Young Scholars

National Safety Academic Fund",Australia
141,"Wang H., Shao S., Zhou X., Wan C., Bouguettaya A.",Preference recommendation for personalized search,2016,17.0,"Qatar National Research Fund

National Natural Science Foundation of China

Ministry of Education of the People's Republic of China",Australia
142,"Jimeno Yepes A.J., Plaza L., Carrillo-de-Albornoz J., Mork J.G., Aronson A.R.",Feature engineering for MEDLINE citation categorization with MeSH,2015,17.0,U.S. National Library of Medicine,Australia
143,"Yin Z., Feng Q., Yang L., Deo R.C., Wen X., Si J., Xiao S.",Future projection with an extreme-learning machine and support vector regression of reference evapotranspiration in a mountainous inland watershed in north-west China,2017,16.0,0,Australia
144,"Lin G., Sun N., Nepal S., Zhang J., Xiang Y., Hassan H.","Statistical Twitter Spam Detection Demystified: Performance, Stability and Scalability",2017,16.0,National Natural Science Foundation of China,Australia
145,"Aziz H., Brill M., Fischer F., Harrenstein P., Lang J., Seedig H.G.",Possible and necessary winners of partial tournaments,2015,16.0,"Horizon 2020 Framework Programme

Seventh Framework Programme",Australia
146,"Gao M., Lou X., Cui B.",Robust exponential stability of Markovian jumping neural networks with time-varying delay,2008,16.0,"National Natural Science Foundation of China

Ministry of Education of the People's Republic of China

Natural Science Foundation of Jiangsu Province",Australia
