,area_type,availability,location,size,society,total_sqft,bath,balcony,price
283,Built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,GaicaVe,1490,3.0,1.0,78.8
284,Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,,1075,2.0,1.0,46.0
285,Super built-up  Area,18-Aug,Old Madras Road,3 BHK,Saesttt,1425,2.0,2.0,94.0
286,Built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,Nae 2El,1200,2.0,1.0,40.0
287,Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,,1280,2.0,2.0,56.0
288,Super built-up  Area,Ready To Move,Silver Springs Layout,2 BHK,Bhinglv,1084,2.0,2.0,50.0
289,Super built-up  Area,18-Jul,Chandapura,2 BHK,SunceEs,1015,2.0,2.0,25.88
290,Super built-up  Area,21-May,Kanakpura Road,2 BHK,GolusLi,1017,2.0,1.0,51.25
291,Super built-up  Area,Ready To Move,Haralur Road,2 BHK,,1027,2.0,2.0,44.0
292,Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,Coush W,1069,2.0,2.0,45.0
293,Super built-up  Area,Ready To Move,Hebbal,2 BHK,Prersis,1349,2.0,1.0,98.2
294,Super built-up  Area,Ready To Move,9th Phase JP Nagar,2 BHK,NaensGa,1005,2.0,1.0,50.0
295,Super built-up  Area,Ready To Move,Jakkur,2 BHK,Arzzo P,1417,2.0,3.0,75.0
296,Plot  Area,18-Jan,TC Palaya,3 Bedroom,,1475,3.0,1.0,98.0
297,Carpet  Area,Ready To Move,Maruthi Sevanagar,2 BHK,SMikaay,950,2.0,2.0,47.0
298,Super built-up  Area,Ready To Move,RMV 2nd Stage,4 BHK,Prave E,2000,4.0,0.0,120.0
299,Plot  Area,Ready To Move,Giri Nagar,3 Bedroom,,880,3.0,1.0,140.0
300,Super built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,Ahriaup,1863,3.0,2.0,104.0
301,Super built-up  Area,Ready To Move,Singasandra,2 BHK,Priewhi,1010,2.0,1.0,29.5
302,Super built-up  Area,Ready To Move,Kalena Agrahara,3 BHK,Shodsth,1425,2.0,1.0,70.0
303,Super built-up  Area,Ready To Move,Vijayanagar,3 BHK,Swadeh ,1450,3.0,0.0,100.0
304,Super built-up  Area,Ready To Move,Kothanur,3 BHK,Somumys,1847,3.0,2.0,105.0
305,Super built-up  Area,Ready To Move,AECS Layout,2 BHK,Soran U,1100,2.0,3.0,45.0
306,Super built-up  Area,20-Dec,Kanakpura Road,1 BHK,PrarePa,525,1.0,1.0,26.0
307,Super built-up  Area,Ready To Move,Mallasandra,3 BHK,Puestig,1665,3.0,2.0,95.0
308,Super built-up  Area,Ready To Move,Begur,4 BHK,Prntsrt,1664,4.0,3.0,65.0
309,Super built-up  Area,Ready To Move,JP Nagar,3 BHK,Maerar ,1850,3.0,3.0,150.0
310,Super built-up  Area,Ready To Move,Panathur,2 BHK,Vaesh T,1438,2.0,3.0,100.0
311,Super built-up  Area,Ready To Move,Sunder Ram Shetty Nagar,3 BHK,MaisePa,1560,3.0,3.0,115.0
312,Super built-up  Area,18-Apr,Yelahanka,2 BHK,,1350,2.0,1.0,55.55
313,Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,1550,3.0,3.0,67.0
314,Super built-up  Area,18-Apr,Malleshpalya,2 BHK,,1140,2.0,2.0,46.5
315,Plot  Area,Ready To Move,Srirampura,5 Bedroom,,1200,5.0,2.0,180.0
316,Super built-up  Area,18-Dec,Kodathi,2 BHK,,850,2.0,2.0,27.0
317,Super built-up  Area,Ready To Move,Whitefield,2 BHK,Gotis A,1280,2.0,2.0,75.0
318,Built-up  Area,Ready To Move,Munnekollal,2 BHK,,1170,2.0,2.0,52.0
319,Super built-up  Area,Ready To Move,Motappa Layout,2 BHK,Puodse ,1113,2.0,1.0,51.0
320,Super built-up  Area,Ready To Move,Hennur Road,2 BHK,Mileeou,1385,2.0,1.0,83.09
321,Super built-up  Area,18-Apr,Electronic City,2 BHK,Prarkun,1128,2.0,1.0,65.0
322,Plot  Area,Ready To Move,Marathahalli,2 Bedroom,,1200,2.0,2.0,128.0
323,Plot  Area,Ready To Move,Akshaya Vana,4 Bedroom,,1200,4.0,3.0,165.0
324,Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,PhestOn,2390,3.0,2.0,415.0
325,Plot  Area,Ready To Move,Giri Nagar,4 Bedroom,,2400,4.0,1.0,400.0
326,Super built-up  Area,Ready To Move,Haralur Road,3 BHK,NRowse ,1464,3.0,2.0,56.0
327,Super built-up  Area,Ready To Move,Manayata Tech Park,2 BHK,,1200,2.0,2.0,55.0
328,Super built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,Abncy R,1200,2.0,2.0,52.0
329,Super built-up  Area,Ready To Move,Kaggalipura,3 BHK,Baowsig,1150,2.0,1.0,55.0
330,Built-up  Area,Ready To Move,Basavanna Nagar,3 BHK,Itala A,1645,3.0,2.0,95.0
331,Super built-up  Area,20-Mar,Sarjapur  Road,2 BHK,,1000,2.0,1.0,67.0
332,Plot  Area,Ready To Move,Haralur Road,4 Bedroom,,2650,4.0,2.0,198.0
333,Super built-up  Area,Ready To Move,6th Phase JP Nagar,2 BHK,HMinebo,1192,2.0,2.0,74.0
334,Super built-up  Area,Ready To Move,Ulsoor,3 BHK,K borja,2135,3.0,2.0,215.0
335,Super built-up  Area,19-Dec,Whitefield,2 BHK,Oreldhi,1173,2.0,1.0,58.0
336,Built-up  Area,Ready To Move,Uttarahalli,2 BHK,Sungspr,1020,2.0,2.0,45.0
337,Super built-up  Area,Ready To Move,Thigalarapalya,4 BHK,Prtanha,3122,6.0,2.0,230.0
338,Super built-up  Area,Ready To Move,Somasundara Palya,3 BHK,,1600,3.0,3.0,64.0
339,Plot  Area,18-Mar,T.C PALYA,2 Bedroom,,1200,2.0,0.0,79.0
340,Carpet  Area,Ready To Move,Muneshwara Nagar,2 BHK,,1230,2.0,3.0,48.0
341,Super built-up  Area,Ready To Move, Devarachikkanahalli,2 BHK,Clntsrt,1250,2.0,2.0,40.0
342,Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,PuamaPa,1325,2.0,2.0,76.0
343,Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Brngsal,1850,3.0,1.0,150.0
344,Super built-up  Area,21-Dec,Kanakpura Road,1 BHK,PrarePa,525,,,21.53
345,Super built-up  Area,Ready To Move,Basaveshwara Nagar,2 BHK,,1200,2.0,2.0,65.0
346,Plot  Area,Ready To Move,Bull Temple Road,3 Bedroom,,1350,2.0,0.0,140.0
347,Super built-up  Area,18-Jun,Bommasandra,3 BHK,SSestth,1260,3.0,1.0,49.36
348,Super built-up  Area,Ready To Move,Prashanth Nagar,3 BHK,Vancy R,1800,3.0,0.0,150.0
349,Plot  Area,18-Dec,Suragajakkanahalli,3 Bedroom,PrhyaK ,11,3.0,2.0,74.0
350,Built-up  Area,Ready To Move,Ardendale,2 BHK,Miwel M,1100,2.0,1.0,43.25
351,Super built-up  Area,Ready To Move,Harlur,2 BHK,SrEndPo,1508,2.0,1.0,77.0
352,Carpet  Area,Ready To Move,Sampigehalli,3 BHK,Puens G,1592,3.0,2.0,75.0
353,Super built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,SagasSa,1388,2.0,3.0,57.0
354,Super built-up  Area,18-May,Electronic City Phase II,1 BHK,SNbay G,630,1.0,1.0,28.35
355,Plot  Area,Ready To Move,RMV,3 Bedroom,,2000,3.0,2.0,365.0
356,Super built-up  Area,Ready To Move,Banashankari3rd stage bigbazar,3 BHK,,1762,3.0,1.0,125.0
357,Super built-up  Area,21-Dec,Bagalur Main Road,2 BHK,,950,2.0,2.0,50.0
358,Super built-up  Area,Ready To Move,Kodihalli,4 BHK,Soianal,3252,5.0,3.0,335.0
359,Super built-up  Area,18-Aug,Magadi Road,2 BHK,Vrenty ,1116,2.0,1.0,50.0
360,Super built-up  Area,Ready To Move,Narayanapura,2 BHK,AriosHe,1308,2.0,2.0,89.04
361,Super built-up  Area,Ready To Move,MS Pallya,3 BHK,,1200,3.0,0.0,90.0
362,Plot  Area,Ready To Move,Binny Mills Employees Colony,4 Bedroom,,1500,4.0,2.0,230.0
363,Built-up  Area,Ready To Move,Bannerghatta Road,1 BHK,,500,1.0,1.0,18.5
364,Super built-up  Area,Ready To Move,Hennur,2 BHK,SLureSi,1075,2.0,1.0,52.0
365,Super built-up  Area,18-Mar,Chandapura,1 BHK,Siissi ,530,1.0,0.0,11.66
366,Built-up  Area,Ready To Move,Bellandur,2 BHK,,1205,2.0,3.0,66.0
367,Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,Mangsr ,1075,2.0,2.0,60.0
368,Built-up  Area,Ready To Move,KR Puram,2 BHK,HovasTe,930,2.0,2.0,39.0
369,Super built-up  Area,Ready To Move,Balagere,2 BHK,Exncene,1380,2.0,1.0,60.0
370,Super built-up  Area,Ready To Move,Hebbal,4 BHK,Prersis,2483,5.0,2.0,212.0
371,Built-up  Area,Ready To Move,Kodigehaali,2 BHK,Shyas S,1166,2.0,2.0,55.0
372,Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,NadelCi,1050,2.0,1.0,65.0
374,Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1200,2.0,2.0,46.8
375,Super built-up  Area,Ready To Move,Lakshminarayana Pura,3 BHK,Puarent,1600,2.0,1.0,108.0
376,Super built-up  Area,Ready To Move,Billekahalli,3 BHK,MaionPa,1935,3.0,2.0,110.0
377,Super built-up  Area,18-May,8th Phase JP Nagar,1 BHK,Maian M,451,1.0,0.0,29.9
378,Super built-up  Area,Ready To Move,Electronic City,3 BHK,ShstaAl,1800,3.0,2.0,95.0
379,Super built-up  Area,18-May,Jalahalli,3 BHK,Shard T,1400,3.0,0.0,77.0
380,Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,SoitaCa,1801,3.0,2.0,115.0
381,Built-up  Area,Ready To Move,Mahadevpura,2 BHK,Neagar ,1451,2.0,,90.0
382,Plot  Area,19-Jan,Anekal,2 Bedroom,,1200,1.0,1.0,36.0
383,Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1160,2.0,2.0,44.0
384,Built-up  Area,Ready To Move,Kengeri,2 BHK,,1000,2.0,1.0,25.0
385,Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,Wiowsri,950,2.0,1.0,40.0
386,Built-up  Area,20-Dec,"Hoodi Circle, ",3 BHK,,1629,3.0,2.0,79.0
387,Built-up  Area,Ready To Move,Vijayanagar,3 BHK,,1580,2.0,0.0,134.0
388,Super built-up  Area,21-Jun,Vijayanagar,3 BHK,Saityat,1826,3.0,2.0,121.0
389,Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Eladero,1245,2.0,1.0,94.0
390,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,Lancyey,1145,2.0,2.0,45.79
391,Super built-up  Area,Ready To Move,Sompura,2 BHK,Suiseit,825,2.0,1.0,33.0
392,Super built-up  Area,18-Aug,Yeshwanthpur,3 BHK,Aroomba,1693,3.0,3.0,108.0
394,Built-up  Area,Ready To Move,Ashirvad Colony,2 BHK,VMowsea,1460,2.0,1.0,58.0
395,Built-up  Area,Ready To Move,Doddathoguru,2 BHK,S onsMa,1050,2.0,1.0,32.0
396,Built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,Tuentpa,1260,2.0,2.0,55.0
397,Super built-up  Area,Ready To Move,K N Extension,6 BHK,,700,3.0,,120.0
398,Built-up  Area,Ready To Move,Hosur Road,2 BHK,Tovesee,1656,2.0,1.0,120.0
399,Super built-up  Area,Ready To Move,Chandapura,3 BHK,Vailsaf,1208,3.0,1.0,45.0
400,Super built-up  Area,Ready To Move,Whitefield,3 BHK,BrlisCo,1910,3.0,2.0,161.0
401,Super built-up  Area,Ready To Move,Whitefield,4 BHK,Haestt ,3252,4.0,1.0,230.0
402,Plot  Area,Ready To Move,Battarahalli,2 Bedroom,,1200,2.0,1.0,65.0
403,Super built-up  Area,Ready To Move,Gokula Extension,4 BHK,,1200,4.0,1.0,175.0
404,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,BriumMi,1175,2.0,1.0,82.0
405,Plot  Area,Ready To Move,Kamakshipalya,2 Bedroom,,1000,2.0,0.0,165.0
406,Plot  Area,Ready To Move,Bannerghatta Road,4 Bedroom,,1200,2.0,0.0,125.0
407,Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,PhestOn,2390,3.0,2.0,410.0
408,Super built-up  Area,19-Jan,Rajaji Nagar,7 BHK,,12000,6.0,3.0,2200.0
409,Plot  Area,Ready To Move,Sultan Palaya,2 Bedroom,,550,1.0,1.0,62.0
411,Super built-up  Area,Ready To Move,Sanne Amanikere,2 BHK,Hoxiaa ,1185,2.0,,38.0
412,Super built-up  Area,Ready To Move,Kengeri,2 BHK,VBvenal,750,2.0,1.0,38.0
413,Plot  Area,Ready To Move,Mahalakshmi Layout,6 Bedroom,,1200,7.0,3.0,250.0
414,Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,1550,3.0,3.0,64.5
415,Built-up  Area,Ready To Move,Amco Colony,3 BHK,Hoeatan,1760,3.0,2.0,88.0
416,Super built-up  Area,Ready To Move,Billekahalli,2 BHK,Asity S,1125,2.0,2.0,62.0
417,Plot  Area,Ready To Move,Nagarbhavi,3 Bedroom,,1350,3.0,2.0,150.0
418,Plot  Area,17-Dec,Anandapura,2 Bedroom,,1000,2.0,1.0,55.0
419,Built-up  Area,18-Aug,Bommasandra Industrial Area,2 BHK,,1090,2.0,2.0,31.48
420,Plot  Area,Ready To Move,TC Palaya,2 Bedroom,,1200,2.0,0.0,60.0
421,Super built-up  Area,Ready To Move,Budigere,3 BHK,PrityTr,1991,4.0,2.0,103.0
422,Super built-up  Area,18-Oct,Bommasandra,2 BHK,DSoodil,1060,2.0,1.0,26.5
423,Super built-up  Area,Ready To Move,Ambalipura,2 BHK,SJarkte,1105,2.0,1.0,75.0
424,Built-up  Area,Ready To Move,Hoodi,2 BHK,Dhgraas,985,2.0,2.0,67.0
425,Plot  Area,Ready To Move,Chandapura,6 Bedroom,,1533,5.0,3.0,85.0
426,Super built-up  Area,17-Jul,Balagere,3 BHK,HiqueMa,1590,3.0,2.0,79.0
427,Super built-up  Area,Ready To Move,CV Raman Nagar,2 BHK,Srshq T,1120,2.0,2.0,55.0
428,Super built-up  Area,Ready To Move,Samethanahalli,2 BHK,SPontna,1069,2.0,1.0,55.0
429,Super built-up  Area,Ready To Move,Marathahalli,3 BHK,Prionad,1933,3.0,2.0,140.0
430,Built-up  Area,16-Mar,Hosur Road,2 BHK,PuendWe,1194,2.0,0.0,69.0
431,Super built-up  Area,Ready To Move,Brookefield,2 BHK,Danna S,1150,2.0,3.0,69.0
432,Super built-up  Area,Ready To Move,Yelenahalli,2 BHK,,1240,2.0,2.0,47.12
433,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1419,2.0,2.0,48.1
434,Plot  Area,Ready To Move,7th Phase JP Nagar,8 Bedroom,,1200,8.0,,250.0
435,Super built-up  Area,Ready To Move,Richmond Town,3 BHK,Bltonin,2150,4.0,,240.0
436,Super built-up  Area,Ready To Move,Suddaguntepalya,3 BHK,MSanaer,1450,3.0,2.0,55.0
437,Super built-up  Area,18-Jul,Udayapur Village,3 BHK,Plowsri,1630,3.0,2.0,68.29
438,Super built-up  Area,Ready To Move,Dasanapura,2 BHK,Tavenew,708,1.0,1.0,40.0
439,Plot  Area,Ready To Move,Kasavanhalli,3 Bedroom,,1000,4.0,3.0,110.0
440,Plot  Area,Ready To Move,Whitefield,4 Bedroom,,11890,4.0,3.0,700.0
441,Super built-up  Area,Ready To Move,Bellandur,2 BHK,Ocavees,1250,2.0,1.0,76.0
442,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Brnia G,1400,2.0,1.0,95.0
443,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,,1670,2.0,3.0,57.0
444,Super built-up  Area,Ready To Move,Ardendale,3 BHK,SoystAm,1750,3.0,2.0,100.0
445,Super built-up  Area,Ready To Move,Vittasandra,2 BHK,Prlla C,1404,2.0,1.0,71.0
446,Super built-up  Area,Ready To Move,Hoodi,3 BHK,SMaxyay,1715,2.0,2.0,95.0
447,Built-up  Area,18-Apr,Electronic City,1 BHK,Prarkun,630,1.0,1.0,34.65
449,Super built-up  Area,Ready To Move,Hulimavu,3 BHK,,1650,3.0,2.0,78.0
450,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1295,2.0,1.0,55.47
451,Plot  Area,Ready To Move,Giri Nagar,3 Bedroom,Bancyri,1800,3.0,2.0,252.0
452,Super built-up  Area,18-Sep,Sarjapur  Road,2 BHK,PualeSk,1346,2.0,1.0,74.03
453,Plot  Area,Ready To Move,Thippasandra,4 Bedroom,,1200,4.0,2.0,200.0
454,Super built-up  Area,Ready To Move,Hormavu,2 BHK,ElavuHo,1150,2.0,2.0,55.0
455,Built-up  Area,Ready To Move,Chikkabidarakallu,4 Bedroom,Gontyol,3309,4.0,3.0,325.0
456,Super built-up  Area,18-May,Chandapura,3 BHK,SunceEs,1190,2.0,2.0,30.35
457,Super built-up  Area,Ready To Move,AECS Layout,3 BHK,DSutyng,1620,3.0,2.0,98.0
458,Super built-up  Area,18-Apr,Marathahalli,2 BHK,,950,2.0,1.0,46.96
459,Super built-up  Area,Ready To Move,1 Giri Nagar,11 BHK,Bancyri,5000,9.0,3.0,360.0
460,Super built-up  Area,Ready To Move,Harlur,3 BHK,SrEndPo,2450,3.0,0.0,120.0
461,Super built-up  Area,18-May,Electronic City Phase II,3 BHK,Sryalan,1220,2.0,1.0,35.23
462,Super built-up  Area,Ready To Move,Hoysalanagar,2 BHK,RKntsrt,850,2.0,1.0,30.0
463,Built-up  Area,Ready To Move,Padmanabhanagar,2 BHK,,1020,2.0,2.0,63.0
464,Built-up  Area,Ready To Move,Chikkalasandra,2 BHK,,1100,2.0,2.0,50.0
465,Super built-up  Area,Ready To Move,Defence Colony,2 BHK,Vantspa,1150,2.0,2.0,126.0
466,Super built-up  Area,18-Dec,Hebbal,3 BHK,Mahosya,1760,2.0,2.0,130.0
467,Super built-up  Area,Ready To Move,Ambalipura,3 BHK,,1800,3.0,3.0,110.0
468,Super built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,,1070,2.0,1.0,54.0
469,Plot  Area,Ready To Move,2nd Stage Nagarbhavi,4 Bedroom,,1500,4.0,2.0,220.0
470,Plot  Area,Ready To Move,Vidyaranyapura,2 Bedroom,,1440,2.0,0.0,95.0
471,Super built-up  Area,Ready To Move,Amruthahalli,2 BHK,Prowsi ,900,2.0,1.0,40.0
472,Built-up  Area,Ready To Move,ITI Employees Layout,4 BHK,,1200,4.0,1.0,230.0
473,Super built-up  Area,18-May,Whitefield,2 BHK,SMuilan,1130,2.0,1.0,42.16
474,Super built-up  Area,Ready To Move,Koramangala,2 BHK,Proodt ,1320,2.0,1.0,165.0
475,Super built-up  Area,19-Jun,Kodigehalli,2 BHK,,1270,2.0,1.0,98.0
476,Built-up  Area,Ready To Move,Patelappa Layout,2 BHK,Sryamar,1200,2.0,1.0,62.0
477,Super built-up  Area,Ready To Move,Ring Road Nagarbhavi,4 BHK,,4800,4.0,,235.0
478,Super built-up  Area,Ready To Move,NS Palya,2 BHK,,1200,2.0,1.0,74.0
479,Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,Prldsri,929,2.0,0.0,50.17
480,Built-up  Area,Ready To Move,RMV 2nd Stage,4 BHK,LiaveEn,1150,4.0,2.0,260.0
481,Plot  Area,Ready To Move,Basavangudi,4 Bedroom,,1125,4.0,3.0,180.0
482,Plot  Area,Ready To Move,Kenchenahalli,5 Bedroom,,500,3.0,2.0,65.0
483,Plot  Area,Ready To Move,3rd Block Hrbr Layout,5 Bedroom,Bemesrm,1200,5.0,2.0,190.0
484,Super built-up  Area,Ready To Move,KUDLU MAIN ROAD,3 BHK,,1464,3.0,2.0,56.0
485,Super built-up  Area,Ready To Move,7th Phase JP Nagar,4 BHK,,3600,4.0,3.0,400.0
486,Plot  Area,Ready To Move,Bank Avenue,4 Bedroom,,2000,4.0,2.0,99.0
487,Super built-up  Area,Ready To Move,Chikkalasandra,2 BHK,,1208,2.0,1.0,49.0
488,Super built-up  Area,Ready To Move,Hebbal Kempapura,2 BHK,Vrensn ,1130,2.0,2.0,60.0
489,Super built-up  Area,Ready To Move,Surabhi Layout,3 BHK,VDdonel,1753,3.0,2.0,120.0
490,Super built-up  Area,Ready To Move,Old Madras Road,5 BHK,Brica E,4500,7.0,3.0,337.0
491,Plot  Area,Ready To Move,Banjara Layout,3 Bedroom,,600,3.0,2.0,58.0
492,Super built-up  Area,22-Jun,Hoodi,2 BHK,GoAirej,1196,2.0,2.0,94.42
493,Built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,Prenty ,1150,3.0,3.0,52.5
494,Super built-up  Area,18-Apr,Electronic City,2 BHK,Prarkun,1128,2.0,1.0,63.0
495,Super built-up  Area,Ready To Move,Omkar Nagar,2 BHK,Shinei ,1000,2.0,1.0,53.0
496,Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Apows M,1035,2.0,1.0,45.0
497,Built-up  Area,Ready To Move,Kereguddadahalli,2 BHK,,950,2.0,1.0,32.0
498,Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075,2.0,1.0,36.0
499,Super built-up  Area,Ready To Move,Whitefield,2 BHK,SVineun,1040,2.0,1.0,48.5
500,Plot  Area,17-Oct,Maragondanahalli,2 Bedroom,,720,2.0,1.0,45.0
501,Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,Soiewre,1511,3.0,1.0,95.0
502,Built-up  Area,Ready To Move,Silk Board,3 BHK,,1300,3.0,1.0,58.0
503,Super built-up  Area,19-Dec,Hoodi,3 BHK,Caycend,1545,3.0,1.0,68.75
504,Built-up  Area,Ready To Move,Shampura,1 BHK,,375,2.0,0.0,26.0
505,Super built-up  Area,Ready To Move,Vidyaranyapura,2 BHK,,1062,2.0,3.0,38.0
506,Super built-up  Area,Ready To Move,Kada Agrahara,2 BHK,,1115,2.0,1.0,40.0
507,Super built-up  Area,Ready To Move,JP Nagar,2 BHK,DSvvyx ,1000,2.0,1.0,35.0
508,Super built-up  Area,17-May,Kambipura,2 BHK,Prrtht ,883,2.0,1.0,45.0
509,Super built-up  Area,19-Apr,Sarjapur  Road,2 BHK,Brareio,1195,2.0,1.0,70.0
510,Plot  Area,Ready To Move,BHEL Layout,4 Bedroom,,1200,3.0,1.0,165.0
511,Built-up  Area,Ready To Move,Medahalli,1 Bedroom,,700,1.0,0.0,41.0
512,Super built-up  Area,Ready To Move,Vittasandra,2 BHK,Prlla C,1246,2.0,1.0,67.0
513,Plot  Area,Ready To Move,8th Phase JP Nagar,4 Bedroom,,660,4.0,2.0,90.0
514,Plot  Area,Ready To Move,Banashankari Stage III,4 Bedroom,,8500,4.0,2.0,145.0
515,Super built-up  Area,Ready To Move,Kashi Nagar,4 BHK,,1600,4.0,1.0,80.0
516,Super built-up  Area,18-Dec,Haralur Road,4 BHK,SNnia E,2805,5.0,3.0,154.0
517,Super built-up  Area,Ready To Move,Begur Road,3 BHK,,1584,3.0,,65.0
518,Plot  Area,Ready To Move,Sector 7 HSR Layout,4 Bedroom,,3000,5.0,1.0,275.0
519,Built-up  Area,Ready To Move,Hosur Road,3 BHK,,1175,2.0,2.0,48.0
520,Built-up  Area,19-Jul,"Yemlur, Old Airport Road, ",3 BHK,,1595,3.0,2.0,115.0
521,Super built-up  Area,Ready To Move,VHBCS Layout,2 BHK,OlarkLa,1353,2.0,2.0,110.0
522,Super built-up  Area,18-Apr,Electronic City,3 BHK,Prarkun,1599,3.0,2.0,125.0
523,Super built-up  Area,Ready To Move,Whitefield,2 BHK,SuMTBPr,1150,2.0,1.0,70.0
524,Super built-up  Area,17-Dec,Jakkur,4 BHK,Lecco C,5230,6.0,1.0,465.0
525,Super built-up  Area,Ready To Move,KR Puram,2 BHK,Jahidva,1155,2.0,2.0,42.74
526,Built-up  Area,Ready To Move,Ittamadu,1 BHK,,1200,2.0,0.0,85.0
527,Super built-up  Area,18-Jul,Electronic City Phase II,2 BHK,,1000,2.0,1.0,25.0
528,Super built-up  Area,Ready To Move,Thanisandra,4 BHK,,3000,4.0,,120.0
529,Built-up  Area,Ready To Move,Rajiv Nagar,3 BHK,PuoodSk,1867,3.0,1.0,160.0
530,Super built-up  Area,18-Jun,Ramagondanahalli,2 BHK,ViistLa,1251,2.0,1.0,47.0
531,Super built-up  Area,18-Apr,Gattahalli,2 BHK,Arano M,1028,2.0,1.0,45.5
532,Super built-up  Area,Ready To Move,Arekere,2 BHK,Amngsag,1222,2.0,2.0,45.0
533,Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,SNity S,1170,2.0,1.0,66.0
534,Super built-up  Area,Ready To Move,Hebbal,3 BHK,Kacesh ,2400,4.0,1.0,245.0
535,Super built-up  Area,Ready To Move,Ramanjaneyanagar,3 BHK,,1385,2.0,2.0,48.48
536,Super built-up  Area,Ready To Move,HSR Layout,2 BHK,SrisePo,1372,2.0,1.0,68.0
537,Super built-up  Area,Ready To Move,Magadi Road,3 BHK,Bilya A,1282,2.0,2.0,49.0
538,Super built-up  Area,Ready To Move,Mico Layout,9 BHK,Amsomun,5000,9.0,3.0,210.0
539,Built-up  Area,Ready To Move,7th Block Jayanagar,5 Bedroom,,3000,3.0,1.0,528.0
540,Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,Shdhia ,1135,2.0,1.0,39.73
541,Built-up  Area,20-Dec,Whitefield,3 BHK,,1768,3.0,2.0,101.0
542,Built-up  Area,Ready To Move,Byatarayanapura,3 BHK,Foconna,1325,2.0,1.0,90.0
543,Super built-up  Area,18-Apr,Electronic City,3 BHK,Prarkun,1599,3.0,2.0,99.0
544,Plot  Area,18-Mar,Whitefield,3 Bedroom,,1500,3.0,1.0,61.95
545,Plot  Area,Ready To Move,2nd Phase JP Nagar,3 Bedroom,,2610,3.0,0.0,499.0
546,Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,,1286,2.0,2.0,63.0
547,Built-up  Area,Ready To Move,Kammanahalli,5 BHK,,2845,5.0,1.0,140.0
548,Super built-up  Area,Ready To Move,K G Colony,3 BHK,Aincy R,1600,2.0,,50.0
550,Super built-up  Area,Ready To Move,Hebbal,3 BHK,Brium C,3450,5.0,2.0,260.0
551,Super built-up  Area,18-Apr,Munnekollal,2 BHK,Sadhii ,1102,2.0,2.0,53.67
552,Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Sahanra,1350,2.0,2.0,54.0
553,Super built-up  Area,Ready To Move,Banashankari,3 BHK,,1200,2.0,2.0,42.0
554,Plot  Area,Ready To Move,Hosa Road,6 Bedroom,,1300,6.0,0.0,145.0
555,Plot  Area,Ready To Move,Herohalli,2 Bedroom,,1800,1.0,1.0,80.0
556,Built-up  Area,Ready To Move,Chikkabanavar,2 BHK,,950,2.0,1.0,40.0
557,Super built-up  Area,21-Dec,Kanakpura Road,1 BHK,PrarePa,525,1.0,1.0,27.25
558,Built-up  Area,Ready To Move,Attibele,2 BHK,Jae 2hu,656,2.0,1.0,25.0
559,Plot  Area,Ready To Move,Marathahalli,4 Bedroom,,1780,4.0,3.0,175.0
560,Super built-up  Area,Ready To Move,3rd Block Hrbr Layout,2 BHK,Icncy R,1056,2.0,1.0,80.0
561,Super built-up  Area,21-Feb,Bannerghatta Road,1 BHK,Hiatei ,595,1.0,1.0,33.32
